c_param_type,c_param_code,c_param_name,c_parent_code,c_remark,c_updatetime
GICS行业分类,003,GICS行业类,,,2026-03-17 16:02:24.295
GICS行业分类,003001,能源,003,,2026-03-17 16:02:24.295
GICS行业分类,003001001,能源II,003001,,2026-03-17 16:02:24.295
GICS行业分类,003001001001,能源设备与服务,003001001,,2026-03-17 16:02:24.295
GICS行业分类,003001001002,石油、天然气与消费用燃料,003001001,,2026-03-17 16:02:24.295
GICS行业分类,003002,原材料,003,,2026-03-17 16:02:24.295
GICS行业分类,003002001,原材料II,003002,,2026-03-17 16:02:24.295
GICS行业分类,003002001001,化学制品,003002001,,2026-03-17 16:02:24.295
GICS行业分类,003002001002,建筑材料III,003002001,,2026-03-17 16:02:24.295
GICS行业分类,003002001003,容器与包装,003002001,,2026-03-17 16:02:24.295
GICS行业分类,003002001004,金属与采矿,003002001,,2026-03-17 16:02:24.295
GICS行业分类,003002001005,纸类与林业产品,003002001,,2026-03-17 16:02:24.295
GICS行业分类,003003,工业,003,,2026-03-17 16:02:24.295
GICS行业分类,003003001,资本品,003003,,2026-03-17 16:02:24.295
GICS行业分类,003003001001,航空航天与国防,003003001,,2026-03-17 16:02:24.295
GICS行业分类,003003001002,建筑产品III,003003001,,2026-03-17 16:02:24.295
GICS行业分类,003003001003,建筑与工程III,003003001,,2026-03-17 16:02:24.295
GICS行业分类,003003001004,电气设备,003003001,,2026-03-17 16:02:24.295
GICS行业分类,003003001005,工业集团企业III,003003001,,2026-03-17 16:02:24.295
GICS行业分类,003003001006,机械制造,003003001,,2026-03-17 16:02:24.295
GICS行业分类,003003001007,贸易公司与经销商III,003003001,,2026-03-17 16:02:24.295
GICS行业分类,003003002,商业和专业服务,003003,,2026-03-17 16:02:24.295
GICS行业分类,003003002001,商业服务与商业用品,003003002,,2026-03-17 16:02:24.295
GICS行业分类,003003002002,专业服务,003003002,,2026-03-17 16:02:24.295
GICS行业分类,003003003,运输,003003,,2026-03-17 16:02:24.295
GICS行业分类,003003003001,航空货运与物流III,003003003,,2026-03-17 16:02:24.295
GICS行业分类,003003003002,客运航空公司III,003003003,,2026-03-17 16:02:24.295
GICS行业分类,003003003003,海上运输III,003003003,,2026-03-17 16:02:24.295
GICS行业分类,003003003004,公路与铁路III,003003003,,2026-03-17 16:02:24.295
GICS行业分类,003003003005,交通基本设施,003003003,,2026-03-17 16:02:24.295
GICS行业分类,003004,非日常生活消费品,003,,2026-03-17 16:02:24.295
GICS行业分类,003004001,汽车与汽车零部件,003004,,2026-03-17 16:02:24.295
GICS行业分类,003004001001,汽车零部件,003004001,,2026-03-17 16:02:24.295
GICS行业分类,003004001002,汽车,003004001,,2026-03-17 16:02:24.295
GICS行业分类,003004002,耐用消费品与服装,003004,,2026-03-17 16:02:24.295
GICS行业分类,003004002001,家庭耐用消费品,003004002,,2026-03-17 16:02:24.295
GICS行业分类,003004002002,休闲设备与用品,003004002,,2026-03-17 16:02:24.295
GICS行业分类,003004002003,纺织品、服装与奢侈品,003004002,,2026-03-17 16:02:24.295
GICS行业分类,003004003,消费者服务,003004,,2026-03-17 16:02:24.295
GICS行业分类,003004003001,酒店、餐馆与休闲,003004003,,2026-03-17 16:02:24.295
GICS行业分类,003004003002,综合消费者服务,003004003,,2026-03-17 16:02:24.295
