c_fd_code,c_short_name,c_full_name,c_estabdate,c_terminate_date,c_terminate_reason,c_class1_code,c_class1_name,c_class2_code,c_class2_name,c_class3_code,c_class3_name,c_manager_code,c_manager_name,c_custodian_code,c_custodian_name,c_company_code,c_company_name,c_invest_scope,c_invest_standard,c_purchase_status,c_redeem_status,c_fund_nature,c_transform_date,c_regular_open_status,c_min_hold_period,c_mgmt_fee_rate,c_custodian_fee_rate,c_sales_fee_rate,c_init_code,c_updatetime
000001,华夏成长混合,华夏成长证券投资基金,2001-12-18,,,002,混合型基金,002004,灵活配置型基金,002004001,灵活配置型基金,"30040527,30786034","郑晓辉,刘睿聪",80001068,建设银行,80000222,华夏基金,"  本基金的投资范围限于具有良好流动性的金融工具,包括国内依法公开发行上市的股票、债券及中国证监会允许基金投资的其他金融工具。其中投资的重点是预期利润或收入具有良好增长潜力的成长型上市公司所发行的股票,这部分投资比例将不低于本基金股票资产的80%。
","  其中投资的重点是预期利润或收入具有良好增长潜力的成长型上市公司所发行的股票,这部分投资比例将不低于本基金股票资产的80%。
",开放申购,开放赎回,证券投资基金,,0,,1.20%,0.20%,,000001,2026-03-23 03:00:07.717
000003,中海可转债债券A,中海可转换债券债券型证券投资基金,2013-03-20,,,003,债券型基金,003002,混合债券型基金,003002002,混合债券型二级基金,30743443,梅寓寒,80001120,农业银行,80046614,中海基金,"本基金主要投资于具有良好流动性的金融工具,包括国内依法发行上市的股票(包含中小板、创业板及其他经中国证监会核准上市的股票)、债券、货币市场工具、权证、资产支持证券以及法律法规或中国证监会允许基金投资的其他金融工具(但须符合中国证监会的相关规定)。本基金投资的固定收益类资产包括国债、央行票据、中期票据、金融债、公司债、企业债、政府机构债、可转换债券(含可分离交易可转换债券)、中小企业私募债、债券回购、短期融资券、次级债、银行存款、资产支持证券等。
本基金可直接从二级市场上买入股票和权证,也可参与一级市场新股申购或增发新股。本基金的二级市场股票将优先选择盈利增长稳定、过去两年连续分红且股息收益率排名居前的红利股票,传统可转换债券对应的标的股票以及可分离交易可转换债券发行人发行的股票。","本基金投资于固定收益类资产的比例不低于基金资产的80%,对可转换债券(含可分离交易可转换债券)的投资比例不低于基金固定收益类资产的80%,对中小企业私募债券的投资比例不高于基金固定收益类资产的20%;非固定收益类资产的比例合计不超过基金资产的20%。其中现金或到期日在1年以内的政府债券不低于基金资产净值的5%,权证的投资比例不得超过基金资产净值的3%。",开放申购,开放赎回,证券投资基金,,0,,0.75%,0.20%,,000003,2026-03-23 03:00:07.717
000004,中海可转债债券C,中海可转换债券债券型证券投资基金,2013-03-20,,,003,债券型基金,003002,混合债券型基金,003002002,混合债券型二级基金,30743443,梅寓寒,80001120,农业银行,80046614,中海基金,"本基金主要投资于具有良好流动性的金融工具,包括国内依法发行上市的股票(包含中小板、创业板及其他经中国证监会核准上市的股票)、债券、货币市场工具、权证、资产支持证券以及法律法规或中国证监会允许基金投资的其他金融工具(但须符合中国证监会的相关规定)。本基金投资的固定收益类资产包括国债、央行票据、中期票据、金融债、公司债、企业债、政府机构债、可转换债券(含可分离交易可转换债券)、中小企业私募债、债券回购、短期融资券、次级债、银行存款、资产支持证券等。
本基金可直接从二级市场上买入股票和权证,也可参与一级市场新股申购或增发新股。本基金的二级市场股票将优先选择盈利增长稳定、过去两年连续分红且股息收益率排名居前的红利股票,传统可转换债券对应的标的股票以及可分离交易可转换债券发行人发行的股票。","本基金投资于固定收益类资产的比例不低于基金资产的80%,对可转换债券(含可分离交易可转换债券)的投资比例不低于基金固定收益类资产的80%,对中小企业私募债券的投资比例不高于基金固定收益类资产的20%;非固定收益类资产的比例合计不超过基金资产的20%。其中现金或到期日在1年以内的政府债券不低于基金资产净值的5%,权证的投资比例不得超过基金资产净值的3%。",开放申购,开放赎回,证券投资基金,,0,,0.75%,0.20%,,000003,2026-03-23 03:00:07.717
000005,嘉实增强信用定期债券,嘉实增强信用定期开放债券型证券投资基金,2013-03-08,,,003,债券型基金,003002,混合债券型基金,003002001,混合债券型一级基金,30810293,吴翠,80001067,工商银行,80000223,嘉实基金,"本基金的投资范围为国内依法发行及上市的国债、央行票据、金融债、企业债、公司
债、短期融资券、中期票据、次级债券、政府机构债、地方政府债、资产支持证券、中小企
业私募债券、可转换债券(含分离交易可转债)、债券回购、银行存款(包括协议存款、定
期存款及其他银行存款)等固定收益类金融工具以及法律法规或中国证监会允许基金投资的
其他金融工具(但须符合中国证监会相关规定)。
本基金不从二级市场买入股票,不参与一级市场股票首次公开发行或增发,但可持有
因所持可转换公司债券转股形成的股票、因持有股票被派发的权证、因投资于可分离交易可
转债等金融工具而产生的权证。因上述原因持有的股票,本基金应在其可交易之日起的6 个
月内卖出。因上述原因持有的权证,本基金应在其可交易之日起的1 个月内卖出。
除每次季度开放期的前十个工作日和后十个工作日、年度开放期前三个月和后三个月
以及开放期以外的期间,本基金投资于债券和银行存款等固定收益类资产的比例不低于基金
资产的80%,其中对短期融资券及债项信用评级在AA-级以上(含AA-级)的其他信用类固
定收益金融工具(包括但不限于金融债券(不含政策性金融债)、企业债券、公司债券、中
期票据、次级债券、政府机构债、地方政府债、资产支持证券、可转换债券(含分离交易可
转债)、中小企业私募债券)和银行存款的投资比例合计不低于基金固定收益类资产的80%。
开放期内,本基金持有现金或到期日在1 年以内的政府债券不低于基金资产净值的5%。
",,暂停申购,暂停赎回,证券投资基金,,1,,0.30%,0.05%,,000005,2026-03-23 03:00:07.717
000006,西部利得量化成长混合A,西部利得量化成长混合型发起式证券投资基金,2019-03-19,,,002,混合型基金,002001,偏股混合型基金,002001001,偏股混合型基金,30507477,盛丰衍,80001120,农业银行,80147736,西部利得基金,"本基金的投资范围为具有良好流动性的金融工具,包括国内依法发行上市的股票(包括中小板、创业板及其他中国证监会核准上市的股票)、国债、央行票据、金融债、地方政府债、企业债、公司债、可转换债券(含可分离交易可转换债券)、可交换债券、短期融资券(含超短期融资券)、中期票据、资产支持证券、次级债券、债券回购、同业存单、银行存款、货币市场工具、权证、股指期货以及法律法规或中国证监会允许基金投资的其他金融工具(但须符合中国证监会相关规定)。
如法律法规或监管机构以后允许基金投资其他品种,基金管理人在履行适当程序后,可以将其纳入投资范围。
","股票资产占基金资产的60%-95%。基金持有全部权证的市值不超过基金资产净值的3%;本基金每个交易日日终在扣除股指期货合约需缴纳的交易保证金后,应当保持不低于基金资产净值5%的现金或者到期日在一年以内的政府债券,其中现金不包括结算备付金、存出保证金及应收申购款等。
",开放申购,开放赎回,证券投资基金,,0,,1.20%,0.10%,,000006,2026-03-23 03:00:07.717
000007,鹏华国企债债券,鹏华国有企业债债券型证券投资基金,2013-03-08,2018-08-08,基金持有人大会同意终止,003,债券型基金,003002,混合债券型基金,003002002,混合债券型二级基金,30459973,刘涛,80001067,工商银行,80000230,鹏华基金,"本基金主要投资于固定收益类品种,包括国债、央行票据、金融债、企业债、公司债、短期融资券、中期票据、可转债、分离交易可转债、资产支持证券、中小企业私募债、债券回购、银行存款等;同时投资于A股股票(包含中小板、创业板及其他经中国证监会核准上市的股票)、权证等权益类品种以及法律、法规或中国证监会允许基金投资的其他金融工具,但须符合中国证监会的相关规定。 
  如法律法规或中国证监会以后允许基金投资其他品种,基金管理人在履行适当程序后,可以将其纳入投资范围。","基金的投资组合比例为:本基金对债券等固定收益类品种的投资比例不低于基金资产的80%,其中对国有企业债的投资比例不低于固定收益类资产的80%;股票等权益类品种的投资比例不超过基金资产的20%;现金或到期日在一年以内的政府债券的投资比例不低于基金资产净值的5%。 
  本基金所指国有企业债是指国有及国有控股企业发行的债券,包括这类企业所发行的金融债、企业债、公司债、中期票据、短期融资券、可转债、分离交易可转债等。",暂停申购,暂停赎回,证券投资基金,,0,,0.60%,0.20%,,000007,2026-03-23 03:00:07.717
000008,嘉实中证500ETF联接A,嘉实中证500交易型开放式指数证券投资基金联接基金,2013-03-22,,,001,股票型基金,001002,指数型股票基金,001002001,被动指数型基金,30565164,李直,80001068,建设银行,80000223,嘉实基金,"如法律法规或监管机构以后允许基金投资其他品种,基金管理人在履行适当程序后,可以将其纳入投资范围。待基金参与融资融券和转融通业务的相关规定颁布后,基金管理人可以在不改变本基金既有投资策略和风险收益特征并在控制风险的前提下,参与融资融券业务以及通过证券金融公司办理转融通业务,以提高投资效率及进行风险管理。届时本基金参与融资融券、转融通等业务的风险控制原则、具体参与比例限制、费用收支、信息披露、估值方法及其他相关事项按照中国证监会的规定及其他相关法律法规的要求执行,无需召开基金份额持有人大会决定。
","本基金以目标ETF基金份额、标的指数成份股及备选成份股(含存托凭证,下同)为主要投资对象。本基金投资于目标ETF的资产比例不低于基金资产净值的90%(已申购但尚未确认的目标ETF份额可计入在内),持有现金或到期日在一年以内的政府债券的比例不低于基金资产净值的5%,其中现金不包括结算备付金、存出保证金、应收申购款等。此外,为更好地实现投资目标,本基金可少量投资于部分非成份股(包含创业板、存托凭证及其他经中国证监会核准发行的股票)、一级市场新股或增发的股票、衍生工具(权证、股指期货等)、债券资产(国债、金融债、企业债、公司债、次级债、可转换债券、分离交易可转债、央行票据、中期票据、中小企业私募债、短期融资券等)、资产支持证券、债券回购、银行存款等固定收益类资产、现金资产、以及中国证监会允许基金投资的其他金融工具(但须符合中国证监会的相关规定)。
",开放申购,开放赎回,联接基金,,0,,0.15%,0.05%,,159922,2026-03-23 03:00:07.717
000009,易方达天天理财货币A,易方达天天理财货币市场基金,2013-03-04,,,004,货币市场基金,004001,传统货币型基金,004001001,传统货币型基金,"30196303,30070771","石大怿,刘朝阳",80001067,工商银行,80000229,易方达基金,"本基金的投资范围为具有良好流动性的金融工具,包括现金,期限在一年以内(含一年)的银行存款、债券回购、中央银行票据、同业存单,剩余期限在397天以内(含397天)的债券、非金融企业债务融资工具、资产支持证券,以及法律法规或中国证监会、中国人民银行认可的其他具有良好流动性的货币市场工具。
如法律法规或监管机构以后对货币市场基金的投资范围与限制进行调整,本基金将随之调整。",,限大额,开放赎回,证券投资基金,,0,,0.33%,0.10%,,000009,2026-03-23 03:00:07.717
000010,易方达天天理财货币B,易方达天天理财货币市场基金,2013-03-04,,,004,货币市场基金,004001,传统货币型基金,004001001,传统货币型基金,"30196303,30070771","石大怿,刘朝阳",80001067,工商银行,80000229,易方达基金,"本基金的投资范围为具有良好流动性的金融工具,包括现金,期限在一年以内(含一年)的银行存款、债券回购、中央银行票据、同业存单,剩余期限在397天以内(含397天)的债券、非金融企业债务融资工具、资产支持证券,以及法律法规或中国证监会、中国人民银行认可的其他具有良好流动性的货币市场工具。
如法律法规或监管机构以后对货币市场基金的投资范围与限制进行调整,本基金将随之调整。",,限大额,开放赎回,证券投资基金,,0,,0.33%,0.10%,,000009,2026-03-23 03:00:07.717
000011,华夏大盘精选混合A,华夏大盘精选证券投资基金,2004-08-11,,,002,混合型基金,002004,灵活配置型基金,002004001,灵活配置型基金,30693795,屠环宇,80001122,中国银行,80000222,华夏基金,"限于具有良好流动性的金融工具,包括国内依法公开发行上市的股票(含存托凭证)、债券、权证、资产支持证券及中国证监会允许基金投资的其他金融工具。
","本基金属于大盘股票基金,基金股票资产的80%以上投资于大型上市公司发行的股票。其中,大型上市公司是指总市值不低于15亿元。基金因所持有股票价格的变化而导致大盘股投资比例低于上述规定的不在限制之内,但基金管理人应在合理期限内进行调整,最长不超过6个月。未来,随股票市场发展和个股市值差异的变化,基金管理人可在保持大盘风格的前提下适当调整大盘股定义标准,并及时公告。
",开放申购,开放赎回,证券投资基金,,0,,1.20%,0.20%,,000011,2026-03-23 03:00:07.717
