c_trade_date,c_fd_code,c_nav,c_nav_acc,c_nav_adj,c_nav_adj_pre,c_ret_tw,c_ret_tm,c_ret_adj_estab,c_ret_estab,c_ret_ann,c_ret_1w,c_ret_1m,c_ret_3m,c_ret_6m,c_ret_1y,c_ret_2y,c_ret_3y,c_ret_4y,c_ret_5y,c_ret_ytd,c_ret_ly,c_ret_2ya,c_ret_3ya,c_ret_4ya,c_ret_5ya,c_log_ret_adj,c_purchase_status,c_redeem_status,c_ret_1d,c_is_predict,c_ret_1d_raw,c_is_trade
2025-12-01,000001,1.042000,3.615000,6.806030,6.734181,1.066925,1.066925,580.602953,4.200000,8.328710,3.475670,-3.696858,-2.168091,28.255247,25.201550,29.200617,2.390204,-13.100680,-19.665760,27.943190,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.010613,开放申购,开放赎回,0.010669,0,0.010669,1.000000
2025-12-02,000001,1.032000,3.605000,6.740713,6.806030,0.096993,0.096993,574.071254,3.200000,8.284157,1.574803,-4.621072,-0.610687,27.024390,22.975207,27.960688,1.704086,-13.592303,-20.436722,26.715328,5.249680,-21.992764,-17.038875,-7.400468,27.659162,-0.009643,开放申购,开放赎回,-0.009597,0,-0.009597,1.000000
2025-12-03,000001,1.022000,3.595000,6.675396,6.740713,-0.872939,-0.872939,567.539556,2.200000,8.239209,-0.486855,-5.370370,-1.291198,25.182886,22.216466,26.720759,0.718581,-15.037907,-21.263250,25.487467,5.249680,-21.992764,-17.038875,-7.400468,27.659162,-0.009737,开放申购,开放赎回,-0.009690,0,-0.009690,1.000000
2025-12-04,000001,1.035000,3.608000,6.760308,6.675396,0.387973,0.387973,576.030764,3.500000,8.295296,1.272016,-2.999063,4.987729,26.162791,24.806202,27.861433,1.999737,-13.957176,-20.486005,27.083687,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.012640,开放申购,开放赎回,0.012720,0,0.012720,1.000000
2025-12-05,000001,1.042000,3.615000,6.806030,6.760308,1.066925,1.066925,580.602953,4.200000,8.324750,1.066925,-1.975541,2.106119,25.650301,25.350777,30.645096,3.395015,-13.375244,-19.948229,27.943190,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.006741,开放申购,开放赎回,0.006763,0,0.006763,1.000000
2025-12-06,000001,1.042000,3.615000,6.806030,6.806030,1.066925,1.066925,580.602953,4.200000,8.323761,1.066925,-4.051565,2.106119,25.951260,24.313596,30.645096,3.395015,-12.755019,-19.948229,27.943190,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.000000,开放申购,开放赎回,0.000000,1,,0.000000
2025-12-07,000001,1.042000,3.615000,6.806030,6.806030,1.066925,1.066925,580.602953,4.200000,8.322772,1.066925,-2.798507,2.106119,25.951260,24.313596,31.626161,3.700315,-13.100680,-19.094799,27.943190,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.000000,开放申购,开放赎回,0.000000,1,,0.000000
2025-12-08,000001,1.058000,3.631000,6.910537,6.806030,1.535509,2.618817,591.053670,5.800000,8.390605,1.535509,-1.305970,3.774719,27.885253,26.222442,35.169856,5.708819,-13.278126,-17.382742,29.907769,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.015238,开放申购,开放赎回,0.015355,0,0.015355,1.000000
2025-12-09,000001,1.059000,3.632000,6.917068,6.910537,1.631478,2.715810,591.706840,5.900000,8.393876,2.616279,-1.212687,5.513442,27.244186,27.092885,35.297616,5.495997,-14.527505,-16.287418,30.030555,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.000945,开放申购,开放赎回,0.000945,0,0.000945,1.000000
2025-12-10,000001,1.059000,3.632000,6.917068,6.917068,1.631478,2.715810,591.706840,5.900000,8.392878,3.620352,-0.282486,4.789330,28.932589,26.791360,35.297616,5.495997,-14.132409,-16.105302,30.030555,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.000000,开放申购,开放赎回,0.000000,0,0.000000,1.000000
2025-12-11,000001,1.047000,3.620000,6.838688,6.917068,0.479846,1.551891,583.868802,4.700000,8.340425,1.159420,0.000000,-0.119137,27.164806,25.354630,31.435266,4.300575,-15.105413,-16.020672,28.557121,5.249680,-21.992764,-17.038875,-7.400468,27.659162,-0.011396,开放申购,开放赎回,-0.011331,0,-0.011331,1.000000
2025-12-12,000001,1.060000,3.633000,6.923600,6.838688,1.727447,2.812803,592.360009,6.000000,8.395146,1.727447,1.241643,1.312544,28.898851,25.570477,32.737030,5.284430,-14.051325,-14.977949,30.153341,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.012340,开放申购,开放赎回,0.012416,0,0.012416,1.000000
2025-12-13,000001,1.060000,3.633000,6.923600,6.923600,1.727447,2.812803,592.360009,6.000000,8.394149,1.727447,0.473934,1.312544,29.837435,27.364341,33.899933,6.540308,-13.852216,-14.977949,30.153341,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.000000,开放申购,开放赎回,0.000000,1,,0.000000
2025-12-14,000001,1.060000,3.633000,6.923600,6.923600,1.727447,2.812803,592.360009,6.000000,8.393152,1.727447,2.514507,1.312544,29.837435,27.364341,34.404581,7.179550,-13.585298,-15.350852,30.153341,5.249680,-21.992764,-17.038875,-7.400468,27.659162,0.000000,开放申购,开放赎回,0.000000,1,,0.000000
2025-12-15,000001,1.043000,3.616000,6.812561,6.923600,-1.603774,1.163919,581.256122,4.300000,8.319194,-1.417769,0.870406,-1.061812,27.755137,25.321705,33.422348,5.460633,-13.701110,-16.708433,28.065976,5.249680,-21.992764,-17.038875,-7.400468,27.659162,-0.016168,开放申购,开放赎回,-0.016038,0,-0.016038,1.000000
2025-12-16,000001,1.027000,3.600000,6.708054,6.812561,-3.113208,-0.387973,570.805405,2.700000,8.248497,-3.021719,-0.676983,-3.486640,25.187619,24.735678,31.375601,4.891746,-15.091718,-17.866077,26.101398,5.249680,-21.992764,-17.038875,-7.400468,27.659162,-0.015459,开放申购,开放赎回,-0.015340,0,-0.015340,1.000000
