c_fd_code,c_report_date,c_bd_code,c_bd_type,c_style,c_notice_date,c_bd_inner_code,c_bd_name,c_hold_num,c_hold_value,c_nav_ratio,c_is_stat
000001,2025-12-31,250206,1,06,2026-01-22,1004187568,25国开06,1100000.000000,111293660.270000,3.790000,-1
000001,2025-12-31,250304,1,06,2026-01-22,1004173845,25进出04,700000.000000,70862246.580000,2.410000,-1
000001,2025-12-31,524462,1,06,2026-01-22,1004414100,25广D13,500000.000000,50143043.840000,1.710000,-1
000001,2025-12-31,019785,1,06,2026-01-22,1004310916,25国债13,487000.000000,48993667.670000,1.670000,-1
000001,2025-12-31,072510231,1,06,2026-01-22,1004385886,25国开证券CP003,300000.000000,30158219.180000,1.030000,-1
000001,2025-12-31,127061,2,06,2026-01-22,1003062868,美锦转债,,6358320.570000,0.220000,-1
000001,2025-12-31,110086,2,06,2026-01-22,1003064622,精工转债,,6339568.650000,0.220000,-1
000001,2025-12-31,127068,2,06,2026-01-22,1003195182,顺博转债,,6415669.610000,0.220000,-1
000001,2025-12-31,113658,2,06,2026-01-22,1003237127,密卫转债,,5834489.190000,0.200000,-1
000001,2025-12-31,128138,2,06,2026-01-22,1002443333,侨银转债,,5781633.090000,0.200000,-1
000001,2025-12-31,123193,2,06,2026-01-22,1003446391,海能转债,,5789071.470000,0.200000,-1
000001,2025-12-31,113691,2,06,2026-01-22,1003984170,和邦转债,,5884498.970000,0.200000,-1
000001,2025-12-31,110095,2,06,2026-01-22,1003556454,双良转债,,5544185.100000,0.190000,-1
000001,2025-12-31,113640,2,06,2026-01-22,1002945677,苏利转债,,5633115.330000,0.190000,-1
000001,2025-12-31,123112,2,06,2026-01-22,1002603668,万讯转债,,5700760.520000,0.190000,-1
000001,2025-12-31,127016,2,06,2026-01-22,1002204295,鲁泰转债,,5334050.250000,0.180000,-1
000001,2025-12-31,113666,2,06,2026-01-22,1003393996,爱玛转债,,5220126.140000,0.180000,-1
000001,2025-12-31,113680,2,06,2026-01-22,1003650892,丽岛转债,,5263213.910000,0.180000,-1
000001,2025-12-31,123088,2,06,2026-01-22,1002479322,威唐转债,,5286059.490000,0.180000,-1
000001,2025-12-31,123104,2,06,2026-01-22,1002578131,卫宁转债,,5197165.530000,0.180000,-1
000001,2025-12-31,123165,2,06,2026-01-22,1003272959,回天转债,,5357081.150000,0.180000,-1
000001,2025-12-31,113046,2,06,2026-01-22,1002583641,金田转债,,5396560.590000,0.180000,-1
000001,2025-12-31,128142,2,06,2026-01-22,1002482888,新乳转债,,5268875.100000,0.180000,-1
000001,2025-12-31,110090,2,06,2026-01-22,1003243463,爱迪转债,,5391098.360000,0.180000,-1
000001,2025-12-31,127056,2,06,2026-01-22,1002954710,中特转债,,5227229.230000,0.180000,-1
000001,2025-12-31,113056,2,06,2026-01-22,1002985644,重银转债,,5207015.410000,0.180000,-1
000001,2025-12-31,127069,2,06,2026-01-22,1003195188,小熊转债,,5043520.470000,0.170000,-1
000001,2025-12-31,128141,2,06,2026-01-22,1002481962,旺能转债,,5056026.260000,0.170000,-1
000001,2025-12-31,113679,2,06,2026-01-22,1003630621,芯能转债,,4774454.170000,0.160000,-1
000001,2025-12-31,123243,2,06,2026-01-22,1003878658,严牌转债,,4230450.200000,0.140000,-1
000001,2025-12-31,111016,2,06,2026-01-22,1003540823,神通转债,,3996699.770000,0.140000,-1
000001,2025-12-31,113670,2,06,2026-01-22,1003448495,金23转债,,3958888.620000,0.130000,-1
000001,2025-12-31,118031,2,06,2026-01-22,1003382516,天23转债,,3498500.130000,0.120000,-1
000001,2025-12-31,113649,2,06,2026-01-22,1003129463,丰山转债,,2810285.180000,0.100000,-1
000001,2025-12-31,118039,2,06,2026-01-22,1003537096,煜邦转债,,2725183.080000,0.090000,-1
000001,2025-12-31,123085,2,06,2026-01-22,1002476825,万顺转2,,2593372.680000,0.090000,-1
000001,2025-12-31,113653,2,06,2026-01-22,1003159303,永22转债,,2721207.550000,0.090000,-1
000001,2025-12-31,123197,2,06,2026-01-22,1003467921,光力转债,,1592397.740000,0.050000,-1
000001,2025-12-31,113654,2,06,2026-01-22,1003186463,永02转债,,1116548.280000,0.040000,-1
000001,2025-09-30,250304,1,03,2025-10-28,1004173845,25进出04,700000.000000,70581767.120000,2.230000,-1
000001,2025-09-30,250206,1,03,2025-10-28,1004187568,25国开06,600000.000000,60472734.250000,1.910000,-1
000001,2025-09-30,524272,1,03,2025-10-28,1004239937,25广发D6,500000.000000,50238726.030000,1.590000,-1
000001,2025-09-30,019785,1,03,2025-10-28,1004310916,25国债13,360000.000000,36071201.100000,1.140000,-1
000001,2025-09-30,250421,1,03,2025-10-28,1004240039,25农发21,330000.000000,33132569.590000,1.050000,-1
000001,2025-09-30,110059,2,03,2025-10-28,1002020923,浦发转债,,8608192.180000,0.270000,-1
000001,2025-09-30,118051,2,03,2025-10-28,1004019158,皓元转债,,7606350.320000,0.240000,-1
000001,2025-09-30,123146,2,03,2025-10-28,1003072188,中环转2,,6556641.080000,0.210000,-1
000001,2025-09-30,110095,2,03,2025-10-28,1003556454,双良转债,,6269683.090000,0.200000,-1
000001,2025-09-30,127068,2,03,2025-10-28,1003195182,顺博转债,,6244028.320000,0.200000,-1
000001,2025-09-30,128108,2,03,2025-10-28,1002251664,蓝帆转债,,5859904.610000,0.190000,-1
000001,2025-09-30,110086,2,03,2025-10-28,1003064622,精工转债,,6017899.770000,0.190000,-1
000001,2025-09-30,127061,2,03,2025-10-28,1003062868,美锦转债,,6081442.410000,0.190000,-1
000001,2025-09-30,113658,2,03,2025-10-28,1003237127,密卫转债,,5943550.250000,0.190000,-1
000001,2025-09-30,128138,2,03,2025-10-28,1002443333,侨银转债,,5982761.550000,0.190000,-1
000001,2025-09-30,118031,2,03,2025-10-28,1003382516,天23转债,,5954748.040000,0.190000,-1
000001,2025-09-30,123193,2,03,2025-10-28,1003446391,海能转债,,5881402.250000,0.190000,-1
000001,2025-09-30,123085,2,03,2025-10-28,1002476825,万顺转2,,5754658.440000,0.180000,-1
000001,2025-09-30,113058,2,03,2025-10-28,1002990981,友发转债,,5706603.850000,0.180000,-1
000001,2025-09-30,113656,2,03,2025-10-28,1003209653,嘉诚转债,,5816988.630000,0.180000,-1
000001,2025-09-30,113691,2,03,2025-10-28,1003984170,和邦转债,,5554554.110000,0.180000,-1
000001,2025-09-30,123207,2,03,2025-10-28,1003538141,冠中转债,,5732507.500000,0.180000,-1
000001,2025-09-30,113644,2,03,2025-10-28,1003060085,艾迪转债,,5242225.050000,0.170000,-1
000001,2025-09-30,113577,2,03,2025-10-28,1002211962,春秋转债,,5395976.520000,0.170000,-1
000001,2025-09-30,113627,2,03,2025-10-28,1002699508,太平转债,,5218222.220000,0.170000,-1
000001,2025-09-30,123240,2,03,2025-10-28,1003721158,楚天转债,,5275722.170000,0.170000,-1
000001,2025-09-30,127016,2,03,2025-10-28,1002204295,鲁泰转债,,5449212.270000,0.170000,-1
000001,2025-09-30,113640,2,03,2025-10-28,1002945677,苏利转债,,5432445.990000,0.170000,-1
000001,2025-09-30,110081,2,03,2025-10-28,1002724770,闻泰转债,,5356478.010000,0.170000,-1
000001,2025-09-30,123104,2,03,2025-10-28,1002578131,卫宁转债,,5194958.310000,0.160000,-1
000001,2025-09-30,128142,2,03,2025-10-28,1002482888,新乳转债,,5203755.060000,0.160000,-1
000001,2025-09-30,127019,2,03,2025-10-28,1002304357,国城转债,,5064816.260000,0.160000,-1
000001,2025-09-30,128116,2,03,2025-10-28,1002282371,瑞达转债,,4563988.090000,0.140000,-1
000001,2025-09-30,123243,2,03,2025-10-28,1003878658,严牌转债,,3988857.730000,0.130000,-1
000001,2025-09-30,127083,2,03,2025-10-28,1003423126,山路转债,,4162620.290000,0.130000,-1
000001,2025-09-30,118005,2,03,2025-10-28,1002926322,天奈转债,,3891117.360000,0.120000,-1
000001,2025-09-30,111004,2,03,2025-10-28,1002991161,明新转债,,3081517.170000,0.100000,-1
000001,2025-09-30,113046,2,03,2025-10-28,1002583641,金田转债,,2881974.780000,0.090000,-1
000001,2025-09-30,113649,2,03,2025-10-28,1003129463,丰山转债,,2833916.080000,0.090000,-1
000001,2025-09-30,118039,2,03,2025-10-28,1003537096,煜邦转债,,2668691.200000,0.080000,-1
000001,2025-09-30,110082,2,03,2025-10-28,1002819349,宏发转债,,2604254.300000,0.080000,-1
000001,2025-09-30,123179,2,03,2025-10-28,1003407631,立高转债,,2026988.650000,0.060000,-1
000001,2025-09-30,127026,2,03,2025-10-28,1002469181,超声转债,,1425298.090000,0.050000,-1
000001,2025-09-30,113655,2,03,2025-10-28,1003187622,欧22转债,,1663771.070000,0.050000,-1
000001,2025-09-30,113647,2,03,2025-10-28,1003064584,禾丰转债,,1344516.780000,0.040000,-1
000001,2025-06-30,250304,1,02,2025-08-30,1004173845,25进出04,1000000.000000,100470410.960000,3.860000,-1
000001,2025-06-30,250304,1,05,2025-07-21,1004173845,25进出04,1000000.000000,100470410.960000,3.860000,-1
000001,2025-06-30,524272,1,02,2025-08-30,1004239937,25广发D6,500000.000000,50077410.960000,1.930000,-1
000001,2025-06-30,524272,1,05,2025-07-21,1004239937,25广发D6,500000.000000,50077410.960000,1.930000,-1
000001,2025-06-30,012400398,1,02,2025-08-30,1004056763,24振兴基金SCP002,300000.000000,30306933.700000,1.170000,-1
000001,2025-06-30,012400398,1,05,2025-07-21,1004056763,24振兴基金SCP002,300000.000000,30306933.700000,1.170000,-1
000001,2025-06-30,240214,1,05,2025-07-21,1003707302,24国开14,260000.000000,26310700.000000,1.010000,-1
000001,2025-06-30,240214,1,02,2025-08-30,1003707302,24国开14,260000.000000,26310700.000000,1.010000,-1
000001,2025-06-30,200315,1,02,2025-08-30,1002416481,20进出15,200000.000000,20591742.470000,0.790000,-1
000001,2025-06-30,200315,1,05,2025-07-21,1002416481,20进出15,200000.000000,20591742.470000,0.790000,-1
000001,2025-06-30,110059,2,02,2025-08-30,1002020923,浦发转债,,8761547.020000,0.340000,-1
000001,2025-06-30,110059,2,05,2025-07-21,1002020923,浦发转债,,8761547.020000,0.340000,-1
000001,2025-06-30,113629,2,02,2025-08-30,1002777870,泉峰转债,,6653578.010000,0.260000,-1
000001,2025-06-30,113629,2,05,2025-07-21,1002777870,泉峰转债,,6653578.010000,0.260000,-1
000001,2025-06-30,128116,2,05,2025-07-21,1002282371,瑞达转债,,5890702.320000,0.230000,-1
000001,2025-06-30,128116,2,02,2025-08-30,1002282371,瑞达转债,,5890702.320000,0.230000,-1
000001,2025-06-30,127061,2,05,2025-07-21,1003062868,美锦转债,,5604038.750000,0.220000,-1
000001,2025-06-30,128138,2,05,2025-07-21,1002443333,侨银转债,,5751394.740000,0.220000,-1
000001,2025-06-30,123146,2,05,2025-07-21,1003072188,中环转2,,5695198.900000,0.220000,-1
000001,2025-06-30,128108,2,02,2025-08-30,1002251664,蓝帆转债,,5678652.500000,0.220000,-1
000001,2025-06-30,127068,2,02,2025-08-30,1003195182,顺博转债,,5758153.970000,0.220000,-1
000001,2025-06-30,128108,2,05,2025-07-21,1002251664,蓝帆转债,,5678652.500000,0.220000,-1
000001,2025-06-30,128138,2,02,2025-08-30,1002443333,侨银转债,,5751394.740000,0.220000,-1
000001,2025-06-30,127061,2,02,2025-08-30,1003062868,美锦转债,,5604038.750000,0.220000,-1
000001,2025-06-30,123146,2,02,2025-08-30,1003072188,中环转2,,5695198.900000,0.220000,-1
000001,2025-06-30,110064,2,05,2025-07-21,1002092330,建工转债,,5607177.830000,0.220000,-1
000001,2025-06-30,110064,2,02,2025-08-30,1002092330,建工转债,,5607177.830000,0.220000,-1
000001,2025-06-30,118005,2,02,2025-08-30,1002926322,天奈转债,,5799744.220000,0.220000,-1
000001,2025-06-30,118005,2,05,2025-07-21,1002926322,天奈转债,,5799744.220000,0.220000,-1
000001,2025-06-30,127068,2,05,2025-07-21,1003195182,顺博转债,,5758153.970000,0.220000,-1
000001,2025-06-30,110086,2,02,2025-08-30,1003064622,精工转债,,5573450.090000,0.210000,-1
000001,2025-06-30,123063,2,02,2025-08-30,1002314932,大禹转债,,5549025.090000,0.210000,-1
000001,2025-06-30,127016,2,05,2025-07-21,1002204295,鲁泰转债,,5341902.800000,0.210000,-1
000001,2025-06-30,113641,2,05,2025-07-21,1002953326,华友转债,,5497122.950000,0.210000,-1
000001,2025-06-30,113549,2,02,2025-08-30,1002042913,白电转债,,5472498.270000,0.210000,-1
000001,2025-06-30,113577,2,02,2025-08-30,1002211962,春秋转债,,5385148.770000,0.210000,-1
000001,2025-06-30,128071,2,05,2025-07-21,1001943184,合兴转债,,5329732.350000,0.210000,-1
000001,2025-06-30,128081,2,05,2025-07-21,1002047868,海亮转债,,5331048.990000,0.210000,-1
000001,2025-06-30,123193,2,05,2025-07-21,1003446391,海能转债,,5576343.420000,0.210000,-1
000001,2025-06-30,113656,2,02,2025-08-30,1003209653,嘉诚转债,,5498824.370000,0.210000,-1
000001,2025-06-30,128081,2,02,2025-08-30,1002047868,海亮转债,,5331048.990000,0.210000,-1
000001,2025-06-30,113641,2,02,2025-08-30,1002953326,华友转债,,5497122.950000,0.210000,-1
