c_fd_code,c_report_date,c_stk_code,c_style,c_invest_type,c_notice_date,c_inner_code,c_hold_value,c_hold_share,c_nav_ratio,c_is_stat
000001,2025-12-31,300308,06,3,2026-01-22,1000009743,134200000.000000,220000,4.570000,-1
000001,2025-12-31,002475,06,3,2026-01-22,1000007943,83532128.700000,1472970,2.840000,-1
000001,2025-12-31,002371,06,3,2026-01-22,1000007110,75393790.240000,164228,2.570000,-1
000001,2025-12-31,688347,06,3,2026-01-22,1003288299,75515903.680000,700064,2.570000,-1
000001,2025-12-31,688256,06,3,2026-01-22,1002195026,72380947.800000,53396,2.460000,-1
000001,2025-12-31,601689,06,3,2026-01-22,1000305036,70540590.500000,913975,2.400000,-1
000001,2025-12-31,300502,06,3,2026-01-22,1000325846,66226256.000000,153700,2.260000,-1
000001,2025-12-31,688041,06,3,2026-01-22,1002836113,63262974.280000,281908,2.150000,-1
000001,2025-12-31,688019,06,3,2026-01-22,1001807823,61443415.680000,281954,2.090000,-1
000001,2025-12-31,603986,06,3,2026-01-22,1000310516,60332800.000000,281600,2.050000,-1
000001,2025-09-30,002025,03,3,2025-10-28,1000002021,128276385.370000,2500027,4.060000,-1
000001,2025-09-30,688347,03,3,2025-10-28,1003288299,90509731.840000,790064,2.870000,-1
000001,2025-09-30,300308,03,3,2025-10-28,1000009743,89172912.000000,220900,2.820000,-1
000001,2025-09-30,600276,03,3,2025-10-28,1000001934,71551574.100000,1000022,2.270000,-1
000001,2025-09-30,002371,03,3,2025-10-28,1000007110,70807006.080000,156528,2.240000,-1
000001,2025-09-30,002475,03,3,2025-10-28,1000007943,64694528.300000,1000070,2.050000,-1
000001,2025-09-30,601689,03,3,2025-10-28,1000305036,64798074.250000,800075,2.050000,-1
000001,2025-09-30,603986,03,3,2025-10-28,1000310516,63990000.000000,300000,2.030000,-1
000001,2025-09-30,688041,03,3,2025-10-28,1002836113,61430299.200000,243192,1.940000,-1
000001,2025-09-30,688019,03,3,2025-10-28,1001807823,59402395.400000,260035,1.880000,-1
000001,2025-06-30,002025,02,3,2025-08-30,1000002021,139050015.070000,2704727,5.350000,-1
000001,2025-06-30,002025,05,3,2025-07-21,1000002021,139050015.070000,2704727,5.350000,-1
000001,2025-06-30,300395,05,3,2025-07-21,1000314883,107885590.400000,2111264,4.150000,-1
000001,2025-06-30,300395,02,3,2025-08-30,1000314883,107885590.400000,2111264,4.150000,-1
000001,2025-06-30,600862,02,3,2025-08-30,1000008994,96701406.080000,3707876,3.720000,-1
000001,2025-06-30,600862,05,3,2025-07-21,1000008994,96701406.080000,3707876,3.720000,-1
000001,2025-06-30,002230,02,3,2025-08-30,1000005584,65095732.800000,1359560,2.500000,-1
000001,2025-06-30,002230,05,3,2025-07-21,1000005584,65095732.800000,1359560,2.500000,-1
000001,2025-06-30,002371,05,3,2025-07-21,1000007110,48652386.410000,110021,1.870000,-1
000001,2025-06-30,002371,02,3,2025-08-30,1000007110,48652386.410000,110021,1.870000,-1
000001,2025-06-30,002475,05,3,2025-07-21,1000007943,41630428.300000,1200070,1.600000,-1
000001,2025-06-30,002475,02,3,2025-08-30,1000007943,41630428.300000,1200070,1.600000,-1
000001,2025-06-30,688019,05,3,2025-07-21,1001807823,39473313.000000,260035,1.520000,-1
000001,2025-06-30,688019,02,3,2025-08-30,1001807823,39473313.000000,260035,1.520000,-1
000001,2025-06-30,300308,05,3,2025-07-21,1000009743,34568820.000000,237000,1.330000,-1
000001,2025-06-30,300308,02,3,2025-08-30,1000009743,34568820.000000,237000,1.330000,-1
000001,2025-06-30,688347,05,3,2025-07-21,1003288299,34627289.290000,630619,1.330000,-1
000001,2025-06-30,688347,02,3,2025-08-30,1003288299,34627289.290000,630619,1.330000,-1
000001,2025-06-30,688981,05,3,2025-07-21,1002259322,32939430.300000,373590,1.270000,-1
000001,2025-06-30,688981,02,3,2025-08-30,1002259322,32939430.300000,373590,1.270000,-1
000001,2025-06-30,601689,02,3,2025-08-30,1000305036,30465618.750000,644775,1.170000,-1
000001,2025-06-30,002409,02,3,2025-08-30,1000007919,30079500.000000,550000,1.160000,-1
000001,2025-06-30,002920,02,3,2025-08-30,1000721966,30271332.000000,296400,1.160000,-1
000001,2025-06-30,603986,02,3,2025-08-30,1000310516,29051288.000000,229600,1.120000,-1
000001,2025-06-30,002463,02,3,2025-08-30,1000006938,28967174.000000,680300,1.110000,-1
000001,2025-06-30,688041,02,3,2025-08-30,1002836113,28271281.260000,200094,1.090000,-1
000001,2025-06-30,000738,02,3,2025-08-30,1000002514,27385850.000000,1319800,1.050000,-1
000001,2025-06-30,600276,02,3,2025-08-30,1000001934,25951141.800000,500022,1.000000,-1
000001,2025-06-30,688111,02,3,2025-08-30,1001002451,25473348.000000,90960,0.980000,-1
000001,2025-06-30,688120,02,3,2025-08-30,1002243361,25139505.300000,149019,0.970000,-1
000001,2025-06-30,300661,02,3,2025-08-30,1000576692,24436893.700000,335810,0.940000,-1
000001,2025-06-30,600570,02,3,2025-08-30,1000009903,23662738.320000,705508,0.910000,-1
000001,2025-06-30,688012,02,3,2025-08-30,1001809499,23070976.500000,126555,0.890000,-1
000001,2025-06-30,688778,02,3,2025-08-30,1002327261,22368111.840000,400002,0.860000,-1
000001,2025-06-30,688052,02,3,2025-08-30,1002651733,22419522.140000,128486,0.860000,-1
000001,2025-06-30,688536,02,3,2025-08-30,1002219778,21126917.280000,152299,0.810000,-1
000001,2025-06-30,300760,02,3,2025-08-30,1001002427,19265345.250000,85719,0.740000,-1
000001,2025-06-30,300593,02,3,2025-08-30,1000472478,16797704.000000,1253560,0.650000,-1
000001,2025-06-30,002126,02,3,2025-08-30,1000007683,16629372.000000,684900,0.640000,-1
000001,2025-06-30,300274,02,3,2025-08-30,1000008290,16573153.500000,244550,0.640000,-1
000001,2025-06-30,300394,02,3,2025-08-30,1000326742,15979576.800000,200145,0.610000,-1
000001,2025-06-30,300010,02,3,2025-08-30,1000009048,15778357.000000,1903300,0.610000,-1
000001,2025-06-30,688692,02,3,2025-08-30,1003135028,15898743.700000,71330,0.610000,-1
000001,2025-06-30,688502,02,3,2025-08-30,1002331128,15514366.780000,53933,0.600000,-1
000001,2025-06-30,300430,02,3,2025-08-30,1000304187,15339345.000000,735700,0.590000,-1
000001,2025-06-30,300750,02,3,2025-08-30,1001194744,15133200.000000,60000,0.580000,-1
000001,2025-06-30,300253,02,3,2025-08-30,1000009158,14940519.800000,1409483,0.570000,-1
000001,2025-06-30,300567,02,3,2025-08-30,1000379746,14473668.000000,238800,0.560000,-1
000001,2025-06-30,601100,02,3,2025-08-30,1000007947,14572800.000000,202400,0.560000,-1
000001,2025-06-30,300451,02,3,2025-08-30,1000326762,14386595.000000,2546300,0.550000,-1
000001,2025-06-30,603228,02,3,2025-08-30,1000389013,14408189.760000,344364,0.550000,-1
000001,2025-06-30,000887,02,3,2025-08-30,1000009228,14072000.000000,800000,0.540000,-1
000001,2025-06-30,300054,02,3,2025-08-30,1000008094,13941348.000000,486100,0.540000,-1
000001,2025-06-30,002558,02,3,2025-08-30,1000008499,14130000.000000,600000,0.540000,-1
000001,2025-06-30,603108,02,3,2025-08-30,1000314884,14129377.480000,800078,0.540000,-1
000001,2025-06-30,000408,02,3,2025-08-30,1000002105,13807798.650000,323595,0.530000,-1
000001,2025-06-30,688234,02,3,2025-08-30,1002647115,13716391.400000,234268,0.530000,-1
000001,2025-06-30,002517,02,3,2025-08-30,1000010214,13517000.000000,700000,0.520000,-1
000001,2025-06-30,002484,02,3,2025-08-30,1000008169,13619703.000000,664700,0.520000,-1
000001,2025-06-30,002050,02,3,2025-08-30,1000001787,13190000.000000,500000,0.510000,-1
000001,2025-06-30,688037,02,3,2025-08-30,1001914258,13309308.800000,124154,0.510000,-1
000001,2025-06-30,600183,02,3,2025-08-30,1000000314,12946410.000000,429400,0.500000,-1
000001,2025-06-30,002472,02,3,2025-08-30,1000008048,13044355.000000,389500,0.500000,-1
000001,2025-06-30,688369,02,3,2025-08-30,1001832505,12945852.010000,490559,0.500000,-1
000001,2025-06-30,688072,02,3,2025-08-30,1002629384,13121915.280000,85368,0.500000,-1
000001,2025-06-30,688088,02,3,2025-08-30,1001809263,13080285.500000,271094,0.500000,-1
000001,2025-06-30,300624,02,3,2025-08-30,1000361232,12819530.000000,206600,0.490000,-1
000001,2025-06-30,000792,02,3,2025-08-30,1000000845,12664820.000000,741500,0.490000,-1
000001,2025-06-30,603501,02,3,2025-08-30,1000498858,12382050.000000,97000,0.480000,-1
000001,2025-06-30,688256,02,3,2025-08-30,1002195026,12590598.000000,20932,0.480000,-1
000001,2025-06-30,002916,02,3,2025-08-30,1000877427,12513506.700000,116070,0.480000,-1
000001,2025-06-30,688027,02,3,2025-08-30,1001809262,12346573.950000,44895,0.470000,-1
000001,2025-06-30,000938,02,3,2025-08-30,1000001344,11995000.000000,500000,0.460000,-1
000001,2025-06-30,603882,02,3,2025-08-30,1000653868,11808074.880000,413448,0.450000,-1
000001,2025-06-30,600588,02,3,2025-08-30,1000000581,11672010.000000,873000,0.450000,-1
000001,2025-06-30,000733,02,3,2025-08-30,1000001781,11496485.000000,229700,0.440000,-1
000001,2025-06-30,301358,02,3,2025-08-30,1002795039,11465444.000000,367600,0.440000,-1
000001,2025-06-30,300378,02,3,2025-08-30,1000010918,10980000.000000,300000,0.420000,-1
000001,2025-06-30,002315,02,3,2025-08-30,1000008148,10728012.000000,234800,0.410000,-1
000001,2025-06-30,300170,02,3,2025-08-30,1000010208,10326000.000000,600000,0.400000,-1
000001,2025-06-30,300223,02,3,2025-08-30,1000008001,10193160.000000,147300,0.390000,-1
000001,2025-06-30,688766,02,3,2025-08-30,1002322165,9979280.000000,157900,0.380000,-1
000001,2025-06-30,300033,02,3,2025-08-30,1000008109,9828360.000000,36000,0.380000,-1
000001,2025-06-30,300059,02,3,2025-08-30,1000008935,9975969.000000,431300,0.380000,-1
000001,2025-06-30,688297,02,3,2025-08-30,1002790465,9919904.400000,185766,0.380000,-1
000001,2025-06-30,600584,02,3,2025-08-30,1000001714,9709458.000000,288200,0.370000,-1
000001,2025-06-30,000681,02,3,2025-08-30,1000002398,9506080.000000,472000,0.370000,-1
000001,2025-06-30,300454,02,3,2025-08-30,1001061318,9424780.960000,100072,0.360000,-1
000001,2025-06-30,001301,02,3,2025-08-30,1002686334,8864568.000000,181800,0.340000,-1
000001,2025-06-30,300363,02,3,2025-08-30,1000011648,8540000.000000,500000,0.330000,-1
