c_trade_date,c_stk_code,c_citic_code,c_sw_code,c_updatetime
2025-12-31,000001,025021002001,029017002002,2026-03-17 15:19:06.832
2025-12-31,000002,025023001001,029014001001,2026-03-17 15:19:06.832
2025-12-31,000004,025028002002,029025003002,2026-03-17 15:19:06.832
2025-12-31,000006,025023001001,029014001001,2026-03-17 15:19:06.832
2025-12-31,000007,025023001002,029015002004,2026-03-17 15:19:06.832
2025-12-31,000008,025010004001,029023003001,2026-03-17 15:19:06.832
2025-12-31,000009,025030001001,029022005002,2026-03-17 15:19:06.832
2025-12-31,000010,025007001003,029021003002,2026-03-17 15:19:06.832
2025-12-31,000011,025023001001,029014001001,2026-03-17 15:19:06.832
2025-12-31,000012,025008001002,029020002001,2026-03-17 15:19:06.832
2025-12-31,000014,025023001001,029014001001,2026-03-17 15:19:06.832
2025-12-31,000016,025016002001,029007001002,2026-03-17 15:19:06.832
2025-12-31,000017,025014003002,029009003001,2026-03-17 15:19:06.832
2025-12-31,000019,025020005001,029001005002,2026-03-17 15:19:06.832
2025-12-31,000020,025026003003,029005003001,2026-03-17 15:19:06.832
2025-12-31,000021,025026004001,029005005002,2026-03-17 15:19:06.832
2025-12-31,000025,025030001001,029019001001,2026-03-17 15:19:06.832
2025-12-31,000026,025014003002,029009003001,2026-03-17 15:19:06.832
2025-12-31,000027,025004001001,029012001001,2026-03-17 15:19:06.832
2025-12-31,000028,025018004001,029011004001,2026-03-17 15:19:06.832
2025-12-31,000029,025023001001,029014001001,2026-03-17 15:19:06.832
2025-12-31,000030,025013003001,029006001002,2026-03-17 15:19:06.832
2025-12-31,000031,025023001001,029014001002,2026-03-17 15:19:06.832
2025-12-31,000032,025027002003,029021004004,2026-03-17 15:19:06.832
2025-12-31,000034,025028003004,029025002001,2026-03-17 15:19:06.832
2025-12-31,000035,025004002003,029030001003,2026-03-17 15:19:06.832
2025-12-31,000036,025023001001,029014001001,2026-03-17 15:19:06.832
2025-12-31,000037,025004001001,029012001001,2026-03-17 15:19:06.832
2025-12-31,000039,025010004003,029023001006,2026-03-17 15:19:06.832
2025-12-31,000042,025023001001,029014001001,2026-03-17 15:19:06.832
2025-12-31,000045,025026003004,029005003001,2026-03-17 15:19:06.832
2025-12-31,000048,025020002001,029001006001,2026-03-17 15:19:06.832
2025-12-31,000049,025026004001,029022005001,2026-03-17 15:19:06.832
2025-12-31,000050,025026003003,029005003001,2026-03-17 15:19:06.832
2025-12-31,000055,025008003002,029020003003,2026-03-17 15:19:06.832
